,database,question,verified_output,correct
0,department_management,How many heads of the departments are older than 56 ?,SELECT COUNT(*) FROM head WHERE head.age > '56' ,1
1,department_management,"List the name, born state and age of the heads of departments ordered by age.","SELECT head.name ,born_state ,age FROM head ORDER BY head.age",1
2,department_management,"List the creation year, name and budget of each department.","SELECT department.creation ,name ,budget_in_billions FROM department GROUP BY department.department_id",1
3,department_management,What are the maximum and minimum budget of the departments?,"SELECT MAX(department.Budget_in_Billions) ,MIN(department.Budget_in_Billions) FROM department",1
4,department_management,What is the average number of employees of the departments whose rank is between 10 and 15?,SELECT department.Num_Employees FROM department WHERE department.Ranking  BETWEEN 10 AND 15,0
5,department_management,What are the names of the heads who are born outside the California state?,SELECT head.name FROM head WHERE head.born_state   !=  'California' ,1
6,department_management,What are the distinct creation years of the departments managed by a secretary born in state 'Alabama'?,SELECT DISTINCT(T1.Creation) FROM department AS T1 JOIN management AS T2 ON T1.Department_ID = T2.department_ID    JOIN head AS T3 ON T3.head_ID = T2.head_ID   WHERE T3.born_state = 'Alabama' ,1
7,department_management,What are the names of the states where at least 3 heads were born?,SELECT head.name FROM head WHERE head.born_state = '3'  GROUP BY head.name HAVING COUNT(*)>= 3,0
8,department_management,Show the name and number of employees for the departments managed by heads whose temporary acting value is 'Yes'?,"SELECT T1.Num_Employees ,  T1.name FROM department AS T1 JOIN management AS T2 ON T1.Department_ID = T2.department_ID    JOIN head AS T3 ON T3.head_ID = T2.head_ID   WHERE T2.temporary_acting = 'Yes' ",1
9,department_management,How many acting statuses are there?,SELECT COUNT(*) FROM management,0
10,department_management,How many departments are led by heads who are not mentioned?,SELECT COUNT(*) FROM department AS T1 JOIN management AS T2 ON T1.Department_ID = T2.department_ID    JOIN head AS T3 ON T3.head_ID = T2.head_ID  ,0
11,department_management,What are the distinct ages of the heads who are acting?,SELECT DISTINCT(head.age) FROM head,0
12,department_management,"Which department has more than 1 head at a time? List the id, name and the number of heads.","SELECT COUNT(*) ,head.head_id ,name FROM head",0
13,department_management,Which head's name has the substring 'Ha'? List the id and name.,"SELECT T3.head_id ,  T1.name FROM department AS T1 JOIN management AS T2 ON T1.Department_ID = T2.department_ID    JOIN head AS T3 ON T3.head_ID = T2.head_ID   WHERE T1.Name  = 'Ha' ",0
14,farm,How many farms are there?,SELECT COUNT(*) FROM farm,1
15,farm,Count the number of farms.,SELECT COUNT(*) FROM farm,1
16,farm,List the total number of horses on farms in ascending order.,SELECT farm.Total_Horses FROM farm ORDER BY  farm.Total_Horses ASC,1
17,farm,"What is the total horses record for each farm, sorted ascending?","SELECT total_cattle ,total_horses FROM farm GROUP BY farm.farm_id ORDER BY  farm.Total_Horses ASC",0
18,farm,"What are the hosts of competitions whose theme is not ""Aliens""?",SELECT T1.hosts FROM farm_competition AS T1 JOIN competition_record AS T2 ON T1.Competition_ID = T2.Competition_ID WHERE T1.Theme != 'Aliens' ,0
19,farm,Return the hosts of competitions for which the theme is not Aliens?,SELECT T1.hosts FROM farm_competition AS T1 JOIN competition_record AS T2 ON T1.Competition_ID = T2.Competition_ID WHERE T1.Theme  != 'Aliens' ,0
20,farm,What are the themes of farm competitions sorted by year in ascending order?,SELECT farm_competition.theme FROM farm_competition ORDER BY farm_competition.Year ASC,1
21,farm,"Return the themes of farm competitions, sorted by year ascending.",SELECT farm_competition.theme FROM farm_competition ORDER BY farm_competition.Year ASC,1
22,farm,What is the average number of working horses of farms with more than 5000 total number of horses?,SELECT COUNT(*) FROM farm WHERE farm.Working_Horses > '5000' ,0
23,farm,Give the average number of working horses on farms with more than 5000 total horses.,SELECT AVG(farm.Working_Horses) FROM farm WHERE farm.Working_Horses > '5000' ,0
24,farm,What are the maximum and minimum number of cows across all farms.,"SELECT MAX(farm.Cows) ,MIN(farm.Cows) FROM farm",1
25,farm,Return the maximum and minimum number of cows across all farms.,"SELECT MAX(farm.Cows) ,MIN(farm.Cows) FROM farm",1
26,farm,How many different statuses do cities have?,SELECT COUNT(DISTINCT(city.Status)) FROM city,1
27,farm,Count the number of different statuses.,SELECT COUNT(DISTINCT(city.Status)) FROM city,1
28,farm,List official names of cities in descending order of population.,SELECT city.official_name FROM city ORDER BY city.Population DESC,1
29,farm,"What are the official names of cities, ordered descending by population?",SELECT city.official_name FROM city ORDER BY city.Population DESC,1
30,farm,List the official name and status of the city with the largest population.,"SELECT city.official_name ,status FROM city ORDER BY city.Population DESC LIMIT 1",1
31,farm,What is the official name and status of the city with the most residents?,"SELECT city.official_name ,status FROM city ORDER BY city.Population DESC LIMIT 1",1
32,farm,Show the years and the official names of the host cities of competitions.,"SELECT T2.year ,  T4.official_name FROM city AS T4 JOIN competition_record AS T3 ON T4.City_ID = T3.Competition_ID    JOIN farm AS T2 ON T2.Farm_ID = T3.Farm_ID    JOIN farm_competition AS T1 ON T1.Competition_ID = T3.Competition_ID  ",0
33,farm,Give the years and official names of the cities of each competition.,"SELECT T2.bulls ,  T1.year ,  T4.official_name FROM city AS T4 JOIN competition_record AS T3 ON T4.City_ID = T3.Competition_ID    JOIN farm AS T2 ON T2.Farm_ID = T3.Farm_ID    JOIN farm_competition AS T1 ON T1.Competition_ID = T3.Competition_ID   GROUP BY T2.bulls",0
34,farm,Show the status of the city that has hosted the greatest number of competitions.,SELECT T3.status FROM city AS T3 JOIN competition_record AS T2 ON T3.City_ID = T2.Competition_ID    JOIN farm AS T1 ON T1.Farm_ID = T2.Farm_ID   GROUP BY T1.bulls ORDER BY T1.Bulls DESC LIMIT 1,1
35,farm,What is the status of the city that has hosted the most competitions?,SELECT city.status FROM city,0
36,farm,Please show the themes of competitions with host cities having populations larger than 1000.,SELECT T1.theme FROM city AS T3 JOIN farm_competition AS T1 ON T3.City_ID = T1.Host_city_ID    JOIN competition_record AS T2 ON T2.Competition_ID = T1.Competition_ID   WHERE T3.Population > '1000' ,0
37,farm,What are the themes of competitions that have corresponding host cities with more than 1000 residents?,SELECT T1.theme FROM city AS T3 JOIN farm_competition AS T1 ON T3.City_ID = T1.Host_city_ID    JOIN competition_record AS T2 ON T2.Competition_ID = T1.Competition_ID   WHERE T1.Hosts > '1000' ,0
38,farm,Please show the different statuses of cities and the average population of cities with each status.,"SELECT city.status ,city.population ,AVG(city.Population) FROM city GROUP BY city.status",0
39,farm,What are the statuses and average populations of each city?,"SELECT city.status ,AVG(city.Population) FROM city GROUP BY city.city_id",0
40,farm,"Please show the different statuses, ordered by the number of cities that have each.","SELECT COUNT(*) ,city.status FROM city GROUP BY city.status ORDER BY COUNT(*)ASC",0
41,farm,"Return the different statuses of cities, ascending by frequency.",SELECT DISTINCT(city.Status) FROM city,1
42,farm,List the most common type of Status across cities.,SELECT city.status FROM city GROUP BY city.status ORDER BY COUNT(*) DESC LIMIT 1,1
43,farm,What is the most common status across all cities?,SELECT status FROM city GROUP BY city.status ORDER BY COUNT(*) DESC LIMIT 1,1
44,farm,List the official names of cities that have not held any competition.,SELECT T3.official_name FROM city AS T3 JOIN competition_record AS T2 ON T3.City_ID = T2.Competition_ID    JOIN farm AS T1 ON T1.Farm_ID = T2.Farm_ID  ,0
45,farm,What are the official names of cities that have not hosted a farm competition?,SELECT city.official_name FROM city WHERE  City_ID NOT IN (SELECT City_ID  FROM farm_competition),1
46,farm,Find the official names of cities with population bigger than 1500 or smaller than 500.,SELECT city.official_name FROM city WHERE city.Population > '1500' ,0
47,farm,What are the official names of cities that have population over 1500 or less than 500?,SELECT city.official_name FROM city WHERE city.Population > '1500' ,0
48,farm,"Show the census ranking of cities whose status are not ""Village"".",SELECT city.census_ranking FROM city WHERE city.Status != 'Village' ,1
49,farm,"What are the census rankings of cities that do not have the status ""Village""?",SELECT city.census_ranking FROM city WHERE city.Status != 'Village' ,1
50,book_2,How many books are there?,SELECT COUNT(*) FROM book,1
51,book_2,List the writers of the books in ascending alphabetical order.,SELECT book.writer FROM book ORDER BY book.Writer,1
52,book_2,List the titles of the books in ascending order of issues.,SELECT book.title FROM book ORDER BY book.Issues ASC,1
53,book_2,"What are the titles of the books whose writer is not ""Elaine Lee""?",SELECT book.title FROM book WHERE book.Writer != 'Elaine Lee' ,1
54,book_2,What are the title and issues of the books?,"SELECT book.title ,issues FROM book",1
55,book_2,What are the dates of publications in descending order of price?,SELECT publication.publication_date FROM publication ORDER BY publication.Price DESC,1
56,book_2,What are the distinct publishers of publications with price higher than 5000000?,SELECT DISTINCT(publication.Publisher) FROM publication WHERE publication.Price > '5000000' ,1
57,book_2,List the publisher of the publication with the highest price.,SELECT publication.publisher FROM publication ORDER BY publication.Price DESC LIMIT 1,1
58,book_2,List the publication dates of publications with 3 lowest prices.,SELECT publication.publication_date FROM publication ORDER BY publication.Price ASC LIMIT 3,1
59,book_2,Show the title and publication dates of books.,"SELECT T1.title ,  T2.publication_date FROM book AS T1 JOIN publication AS T2 ON T1.Book_ID = T2.Book_ID",1
60,book_2,Show writers who have published a book with price more than 4000000.,SELECT writer FROM book AS T1 JOIN publication AS T2 ON T1.Book_ID = T2.Book_ID WHERE T2.Price > '4000000' ,1
61,book_2,Show the titles of books in descending order of publication price.,SELECT T1.title FROM book AS T1 JOIN publication AS T2 ON T1.Book_ID = T2.Book_ID ORDER BY T2.Price DESC,1
62,book_2,Show publishers that have more than one publication.,SELECT publisher FROM publication GROUP BY publication.publisher HAVING COUNT(*)> 1,1
63,book_2,Please show the most common publication date.,SELECT publication_date FROM publication GROUP BY publication.publication_date ORDER BY COUNT(*) DESC LIMIT 1,1
64,book_2,List the writers who have written more than one book.,SELECT writer FROM book GROUP BY book.writer HAVING COUNT(*)> 1,1
65,book_2,List the titles of books that are not published.,SELECT book.title FROM book,0
66,book_2,What is the number of distinct publication dates?,SELECT COUNT(DISTINCT(publication.Publication_Date)) FROM publication,1
67,book_2,How many distinct publication dates are there in our record?,SELECT COUNT(DISTINCT(publication.Publication_Date)) FROM publication,1
68,book_2,"Show the prices of publications whose publisher is either ""Person"" or ""Wiley""",SELECT publication.price FROM publication WHERE publication.Publisher = 'Person'  OR publication.Publisher = 'Wiley' ,1
69,musical,How many actors are there?,SELECT COUNT(*) FROM actor,1
70,musical,Count the number of actors.,SELECT COUNT(*) FROM actor,1
71,musical,List the name of actors in ascending alphabetical order.,SELECT actor.name FROM actor ORDER BY actor.Name,1
72,musical,"What are the names of actors, ordered alphabetically?",SELECT actor.name FROM actor ORDER BY actor.Name,1
73,musical,What are the characters and duration of actors?,"SELECT actor.character ,duration FROM actor",1
74,musical,Return the characters and durations for each actor.,"SELECT character ,duration FROM actor GROUP BY actor.actor_id",1
75,musical,List the name of actors whose age is not 20.,SELECT actor.name FROM actor WHERE actor.age != '20' ,1
76,musical,What are the names of actors who are not 20 years old?,SELECT actor.name FROM actor WHERE actor.age  != 20,1
77,musical,What are the characters of actors in descending order of age?,SELECT actor.character FROM actor ORDER BY actor.age DESC,1
78,musical,"Return the characters for actors, ordered by age descending.",SELECT character FROM actor ORDER BY actor.age DESC,1
79,musical,What is the duration of the oldest actor?,SELECT actor.duration FROM actor ORDER BY actor.age DESC LIMIT 1,1
80,musical,Return the duration of the actor with the greatest age.,SELECT actor.duration FROM actor ORDER BY actor.age DESC LIMIT 1,1
81,musical,"What are the names of musicals with nominee ""Bob Fosse""?",SELECT musical.name FROM musical WHERE musical.Nominee = 'Bob Fosse' ,1
82,musical,Return the names of musicals who have the nominee Bob Fosse.,SELECT musical.name FROM musical WHERE musical.Nominee  = 'Bob Fosse' ,1
83,musical,"What are the distinct nominees of the musicals with the award that is not ""Tony Award""?",SELECT DISTINCT(musical.Nominee) FROM musical WHERE musical.Award != 'Tony Award' ,1
84,musical,Return the different nominees of musicals that have an award that is not the Tony Award.,SELECT DISTINCT(musical.Nominee) FROM musical WHERE musical.Award  != 'Tony Award' ,1
85,musical,Show names of actors and names of musicals they are in.,SELECT T1.name FROM musical AS T2 JOIN actor AS T1 ON T2.Musical_ID = T1.Musical_ID,0
86,musical,What are the names of actors and the musicals that they are in?,SELECT T1.name FROM musical AS T2 JOIN actor AS T1 ON T2.Musical_ID = T1.Musical_ID,0
87,musical,"Show names of actors that have appeared in musical with name ""The Phantom of the Opera"".",SELECT actor.name FROM actor WHERE actor.Name = 'The Phantom of the Opera' ,0
88,musical,What are the names of actors who have been in the musical titled The Phantom of the Opera?,SELECT T2.name FROM musical AS T2 JOIN actor AS T1 ON T2.Musical_ID = T1.Musical_ID WHERE T2.Name = 'Phantom'  AND T2.Category = 'Opera' ,0
89,musical,Show names of actors in descending order of the year their musical is awarded.,SELECT T1.name FROM musical AS T2 JOIN actor AS T1 ON T2.Musical_ID = T1.Musical_ID ORDER BY T2.Year DESC,1
90,musical,What are the names of actors ordered descending by the year in which their musical was awarded?,SELECT T1.name FROM musical AS T2 JOIN actor AS T1 ON T2.Musical_ID = T1.Musical_ID ORDER BY T2.Year DESC,1
91,musical,Show names of musicals and the number of actors who have appeared in the musicals.,"SELECT COUNT(*) ,musical.name FROM musical WHERE  Musical_ID IN (SELECT Musical_ID  FROM musical) GROUP BY musical.name",0
92,musical,Show names of musicals which have at least three actors.,SELECT T2.name FROM musical AS T2 JOIN actor AS T1 ON T2.Musical_ID = T1.Musical_ID GROUP BY T2.name HAVING COUNT(*) >= 3,1
93,musical,What are the names of musicals who have at 3 or more actors?,SELECT T2.name FROM musical AS T2 JOIN actor AS T1 ON T2.Musical_ID = T1.Musical_ID GROUP BY T2.name HAVING COUNT(*)>= 3,1
94,musical,How many musicals has each nominee been nominated for?,"SELECT musical.Nominee ,COUNT(*) FROM musical GROUP BY musical.nominee",1
95,musical,Please show the nominee who has been nominated the greatest number of times.,"SELECT T2.nominee ,  MAX(T1.Duration) FROM musical AS T2 JOIN actor AS T1 ON T2.Musical_ID = T1.Musical_ID GROUP BY T1.duration ORDER BY COUNT(*) DESC LIMIT 1",0
96,musical,Who is the nominee who has been nominated for the most musicals?,SELECT nominee FROM musical GROUP BY musical.nominee ORDER BY COUNT(*) DESC LIMIT 1,1
97,musical,List the most common result of the musicals.,SELECT musical.result FROM musical GROUP BY musical.result ORDER BY COUNT(*) DESC LIMIT 1,1
98,musical,Return the most frequent result across all musicals.,SELECT result FROM musical GROUP BY musical.result ORDER BY COUNT(*) DESC LIMIT 1,1
99,musical,List the nominees that have been nominated more than two musicals.,SELECT nominee FROM musical GROUP BY musical.nominee HAVING COUNT(*)> 2,1
100,musical,List the name of musicals that do not have actors.,SELECT musical.name FROM musical WHERE  Musical_ID NOT IN (SELECT Musical_ID  FROM actor),1
101,musical,What are the names of musicals who have no actors?,SELECT musical.name FROM musical WHERE  Musical_ID NOT IN (SELECT Musical_ID  FROM actor),1
102,musical,"Show the musical nominee with award ""Bob Fosse"" or ""Cleavant Derricks"".",SELECT nominee FROM musical WHERE musical.Award  = 'Bob Fosse'  OR musical.Award  = 'Cleavant Derricks' ,0
103,musical,Who are the nominees who were nominated for either of the Bob Fosse or Cleavant Derricks awards?,SELECT musical.nominee FROM musical WHERE musical.Award  = 'Cleavant Derricks' ,0
104,journal_committee,How many editors are there?,SELECT COUNT(*) FROM editor,1
105,journal_committee,List the names of editors in ascending order of age.,SELECT editor.name FROM editor ORDER BY editor.Age ASC,1
106,journal_committee,What are the names and ages of editors?,"SELECT editor.name ,age FROM editor",1
107,journal_committee,List the names of editors who are older than 25.,SELECT editor.name FROM editor WHERE editor.Age > '25' ,1
108,journal_committee,Show the names of editors of age either 24 or 25.,SELECT editor.name FROM editor WHERE editor.Age = '24'  OR editor.Age = '25' ,1
109,journal_committee,What is the name of the youngest editor?,SELECT editor.name FROM editor ORDER BY editor.Age ASC LIMIT 1,1
110,journal_committee,What are the different ages of editors? Show each age along with the number of editors of that age.,SELECT editor.age FROM editor GROUP BY editor.age,0
111,journal_committee,Please show the most common age of editors.,SELECT editor.age FROM editor GROUP BY editor.age ORDER BY COUNT(*) DESC LIMIT 1,1
112,journal_committee,Show the distinct themes of journals.,SELECT DISTINCT(journal.Theme) FROM journal,1
113,journal_committee,Show the names of editors and the theme of journals for which they serve on committees.,"SELECT T2.name ,  T3.theme FROM journal AS T3 JOIN journal_committee AS T1 ON T3.Journal_ID = T1.Journal_ID    JOIN editor AS T2 ON T2.Editor_ID = T1.Editor_ID  ",1
114,journal_committee,"Show the names and ages of editors and the theme of journals for which they serve on committees, in ascending alphabetical order of theme.","SELECT T2.name ,  age ,  T3.theme FROM journal AS T3 JOIN journal_committee AS T1 ON T3.Journal_ID = T1.Journal_ID    JOIN editor AS T2 ON T2.Editor_ID = T1.Editor_ID   ORDER BY T3.Theme",1
115,journal_committee,Show the names of editors that are on the committee of journals with sales bigger than 3000.,SELECT T2.name FROM journal AS T3 JOIN journal_committee AS T1 ON T3.Journal_ID = T1.Journal_ID    JOIN editor AS T2 ON T2.Editor_ID = T1.Editor_ID   WHERE T3.Sales > '3000' ,1
116,journal_committee,"Show the id, name of each editor and the number of journal committees they are on.","SELECT COUNT(*) ,editor.editor_id ,name FROM editor GROUP BY editor.editor_id",0
117,journal_committee,Show the names of editors that are on at least two journal committees.,SELECT T2.name FROM editor AS T2 JOIN journal_committee AS T1 ON T2.Editor_ID = T1.Editor_ID GROUP BY T2.name HAVING COUNT(*)>= 2,1
118,journal_committee,List the names of editors that are not on any journal committee.,SELECT T2.name FROM editor AS T2 JOIN journal_committee AS T1 ON T2.Editor_ID = T1.Editor_ID,0
119,journal_committee,What is the average sales of the journals that have an editor whose work type is 'Photo'?,SELECT AVG(T3.Sales) FROM journal AS T3 JOIN journal_committee AS T1 ON T3.Journal_ID = T1.Journal_ID    JOIN editor AS T2 ON T2.Editor_ID = T1.Editor_ID   WHERE T1.Work_Type = 'Photo' ,1
120,race_track,How many tracks do we have?,SELECT COUNT(*) FROM track,1
121,race_track,Count the number of tracks.,SELECT COUNT(*) FROM track,1
122,race_track,Show the name and location for all tracks.,"SELECT name ,location FROM track",1
123,race_track,What are the names and locations of all tracks?,"SELECT track.name ,location FROM track",1
124,race_track,"Show names and seatings, ordered by seating for all tracks opened after 2000.","SELECT name ,seating FROM track WHERE track.Seating > '2000'  ORDER BY track.Seating",0
125,race_track,"What are the names and seatings for all tracks opened after 2000, ordered by seating?","SELECT name ,seating FROM track WHERE track.Year_Opened > 2000 ORDER BY track.Seating",1
126,race_track,"What is the name, location and seating for the most recently opened track?","SELECT T1.name ,  T2.location ,  seating FROM track AS T2 JOIN race AS T1 ON T2.Track_ID = T1.Track_ID ORDER BY T2.Year_Opened DESC LIMIT 1",0
127,race_track,"Return the name, location, and seating of the track that was opened in the most recent year.","SELECT track.name ,location ,seating FROM track ORDER BY track.Year_Opened DESC LIMIT 1",1
128,race_track,"What is the minimum, maximum, and average seating for all tracks.","SELECT MIN(track.Seating) ,MAX(track.Seating) ,AVG(track.Seating) FROM track",1
129,race_track,"Return the minimum, maximum, and average seating across all tracks.","SELECT MIN(track.Seating) ,MAX(track.Seating) ,AVG(track.Seating) FROM track",1
130,race_track,"Show the name, location, open year for all tracks with a seating higher than the average.","SELECT name ,location ,year_opened FROM track WHERE  track.Seating >  (SELECT AVG(track.Seating) FROM track)",1
131,race_track,"What are the names, locations, and years of opening for tracks with seating higher than average?","SELECT track.name ,location ,year_opened FROM track WHERE  track.Seating >  (SELECT AVG(track.Seating)  FROM track)",1
132,race_track,What are distinct locations where tracks are located?,SELECT DISTINCT(track.Location) FROM track,1
133,race_track,Give the different locations of tracks.,SELECT DISTINCT(track.Location) FROM track,1
