,database,question,sql
0,department_management,How many heads of the departments are older than 56 ?,SELECT count(*) FROM head WHERE age  >  56
1,department_management,"List the name, born state and age of the heads of departments ordered by age.","SELECT name ,  born_state ,  age FROM head ORDER BY age"
2,department_management,"List the creation year, name and budget of each department.","SELECT creation ,  name ,  budget_in_billions FROM department"
3,department_management,What are the maximum and minimum budget of the departments?,"SELECT max(budget_in_billions) ,  min(budget_in_billions) FROM department"
4,department_management,What is the average number of employees of the departments whose rank is between 10 and 15?,SELECT avg(num_employees) FROM department WHERE ranking BETWEEN 10 AND 15
5,department_management,What are the names of the heads who are born outside the California state?,SELECT name FROM head WHERE born_state != 'California'
6,department_management,What are the distinct creation years of the departments managed by a secretary born in state 'Alabama'?,SELECT DISTINCT T1.creation FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id JOIN head AS T3 ON T2.head_id  =  T3.head_id WHERE T3.born_state  =  'Alabama'
7,department_management,What are the names of the states where at least 3 heads were born?,SELECT born_state FROM head GROUP BY born_state HAVING count(*)  >=  3
8,department_management,In which year were most departments established?,SELECT creation FROM department GROUP BY creation ORDER BY count(*) DESC LIMIT 1
9,department_management,Show the name and number of employees for the departments managed by heads whose temporary acting value is 'Yes'?,"SELECT T1.name ,  T1.num_employees FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id WHERE T2.temporary_acting  =  'Yes'"
10,department_management,How many acting statuses are there?,SELECT count(DISTINCT temporary_acting) FROM management
11,department_management,How many departments are led by heads who are not mentioned?,SELECT count(*) FROM department WHERE department_id NOT IN (SELECT department_id FROM management);
12,department_management,What are the distinct ages of the heads who are acting?,SELECT DISTINCT T1.age FROM management AS T2 JOIN head AS T1 ON T1.head_id  =  T2.head_id WHERE T2.temporary_acting  =  'Yes'
13,department_management,"Which department has more than 1 head at a time? List the id, name and the number of heads.","SELECT T1.department_id ,  T1.name ,  count(*) FROM management AS T2 JOIN department AS T1 ON T1.department_id  =  T2.department_id GROUP BY T1.department_id HAVING count(*)  >  1"
14,department_management,Which head's name has the substring 'Ha'? List the id and name.,"SELECT head_id ,  name FROM head WHERE name LIKE '%Ha%'"
15,farm,How many farms are there?,SELECT count(*) FROM farm
16,farm,Count the number of farms.,SELECT count(*) FROM farm
17,farm,List the total number of horses on farms in ascending order.,SELECT Total_Horses FROM farm ORDER BY Total_Horses ASC
18,farm,"What is the total horses record for each farm, sorted ascending?",SELECT Total_Horses FROM farm ORDER BY Total_Horses ASC
19,farm,"What are the hosts of competitions whose theme is not ""Aliens""?",SELECT Hosts FROM farm_competition WHERE Theme !=  'Aliens'
20,farm,Return the hosts of competitions for which the theme is not Aliens?,SELECT Hosts FROM farm_competition WHERE Theme !=  'Aliens'
21,farm,What are the themes of farm competitions sorted by year in ascending order?,SELECT Theme FROM farm_competition ORDER BY YEAR ASC
22,farm,"Return the themes of farm competitions, sorted by year ascending.",SELECT Theme FROM farm_competition ORDER BY YEAR ASC
23,farm,What is the average number of working horses of farms with more than 5000 total number of horses?,SELECT avg(Working_Horses) FROM farm WHERE Total_Horses  >  5000
24,farm,Give the average number of working horses on farms with more than 5000 total horses.,SELECT avg(Working_Horses) FROM farm WHERE Total_Horses  >  5000
25,farm,What are the maximum and minimum number of cows across all farms.,"SELECT max(Cows) ,  min(Cows) FROM farm"
26,farm,Return the maximum and minimum number of cows across all farms.,"SELECT max(Cows) ,  min(Cows) FROM farm"
27,farm,How many different statuses do cities have?,SELECT count(DISTINCT Status) FROM city
28,farm,Count the number of different statuses.,SELECT count(DISTINCT Status) FROM city
29,farm,List official names of cities in descending order of population.,SELECT Official_Name FROM city ORDER BY Population DESC
30,farm,"What are the official names of cities, ordered descending by population?",SELECT Official_Name FROM city ORDER BY Population DESC
31,farm,List the official name and status of the city with the largest population.,"SELECT Official_Name ,  Status FROM city ORDER BY Population DESC LIMIT 1"
32,farm,What is the official name and status of the city with the most residents?,"SELECT Official_Name ,  Status FROM city ORDER BY Population DESC LIMIT 1"
33,farm,Show the years and the official names of the host cities of competitions.,"SELECT T2.Year ,  T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID"
34,farm,Give the years and official names of the cities of each competition.,"SELECT T2.Year ,  T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID"
35,farm,Show the official names of the cities that have hosted more than one competition.,SELECT T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID GROUP BY T2.Host_city_ID HAVING COUNT(*)  >  1
36,farm,What are the official names of cities that have hosted more than one competition?,SELECT T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID GROUP BY T2.Host_city_ID HAVING COUNT(*)  >  1
37,farm,Show the status of the city that has hosted the greatest number of competitions.,SELECT T1.Status FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID GROUP BY T2.Host_city_ID ORDER BY COUNT(*) DESC LIMIT 1
38,farm,What is the status of the city that has hosted the most competitions?,SELECT T1.Status FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID GROUP BY T2.Host_city_ID ORDER BY COUNT(*) DESC LIMIT 1
39,farm,Please show the themes of competitions with host cities having populations larger than 1000.,SELECT T2.Theme FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID WHERE T1.Population  >  1000
40,farm,What are the themes of competitions that have corresponding host cities with more than 1000 residents?,SELECT T2.Theme FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID WHERE T1.Population  >  1000
41,farm,Please show the different statuses of cities and the average population of cities with each status.,"SELECT Status ,  avg(Population) FROM city GROUP BY Status"
42,farm,What are the statuses and average populations of each city?,"SELECT Status ,  avg(Population) FROM city GROUP BY Status"
43,farm,"Please show the different statuses, ordered by the number of cities that have each.",SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) ASC
44,farm,"Return the different statuses of cities, ascending by frequency.",SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) ASC
45,farm,List the most common type of Status across cities.,SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) DESC LIMIT 1
46,farm,What is the most common status across all cities?,SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) DESC LIMIT 1
47,farm,List the official names of cities that have not held any competition.,SELECT Official_Name FROM city WHERE City_ID NOT IN (SELECT Host_city_ID FROM farm_competition)
48,farm,What are the official names of cities that have not hosted a farm competition?,SELECT Official_Name FROM city WHERE City_ID NOT IN (SELECT Host_city_ID FROM farm_competition)
49,farm,Find the official names of cities with population bigger than 1500 or smaller than 500.,SELECT Official_Name FROM city WHERE Population  >  1500 OR Population  <  500
50,farm,What are the official names of cities that have population over 1500 or less than 500?,SELECT Official_Name FROM city WHERE Population  >  1500 OR Population  <  500
51,farm,"Show the census ranking of cities whose status are not ""Village"".","SELECT Census_Ranking FROM city WHERE Status !=  ""Village"""
52,farm,"What are the census rankings of cities that do not have the status ""Village""?","SELECT Census_Ranking FROM city WHERE Status !=  ""Village"""
53,book_2,How many books are there?,SELECT count(*) FROM book
54,book_2,List the writers of the books in ascending alphabetical order.,SELECT Writer FROM book ORDER BY Writer ASC
55,book_2,List the titles of the books in ascending order of issues.,SELECT Title FROM book ORDER BY Issues ASC
56,book_2,"What are the titles of the books whose writer is not ""Elaine Lee""?","SELECT Title FROM book WHERE Writer != ""Elaine Lee"""
57,book_2,What are the title and issues of the books?,"SELECT Title ,  Issues FROM book"
58,book_2,What are the dates of publications in descending order of price?,SELECT Publication_Date FROM publication ORDER BY Price DESC
59,book_2,What are the distinct publishers of publications with price higher than 5000000?,SELECT DISTINCT Publisher FROM publication WHERE Price  >  5000000
60,book_2,List the publisher of the publication with the highest price.,SELECT Publisher FROM publication ORDER BY Price DESC LIMIT 1
61,book_2,List the publication dates of publications with 3 lowest prices.,SELECT Publication_Date FROM publication ORDER BY Price ASC LIMIT 3
62,book_2,Show the title and publication dates of books.,"SELECT T1.Title ,  T2.Publication_Date FROM book AS T1 JOIN publication AS T2 ON T1.Book_ID  =  T2.Book_ID"
63,book_2,Show writers who have published a book with price more than 4000000.,SELECT T1.Writer FROM book AS T1 JOIN publication AS T2 ON T1.Book_ID  =  T2.Book_ID WHERE T2.Price  >  4000000
64,book_2,Show the titles of books in descending order of publication price.,SELECT T1.Title FROM book AS T1 JOIN publication AS T2 ON T1.Book_ID  =  T2.Book_ID ORDER BY T2.Price DESC
65,book_2,Show publishers that have more than one publication.,SELECT Publisher FROM publication GROUP BY Publisher HAVING COUNT(*)  >  1
66,book_2,Show different publishers together with the number of publications they have.,"SELECT Publisher ,  COUNT(*) FROM publication GROUP BY Publisher"
67,book_2,Please show the most common publication date.,SELECT Publication_Date FROM publication GROUP BY Publication_Date ORDER BY COUNT(*) DESC LIMIT 1
68,book_2,List the writers who have written more than one book.,SELECT Writer FROM book GROUP BY Writer HAVING COUNT(*)  >  1
69,book_2,List the titles of books that are not published.,SELECT Title FROM book WHERE Book_ID NOT IN (SELECT Book_ID FROM publication)
70,book_2,What is the number of distinct publication dates?,SELECT COUNT (DISTINCT Publication_Date) FROM publication
71,book_2,How many distinct publication dates are there in our record?,SELECT COUNT (DISTINCT Publication_Date) FROM publication
72,book_2,"Show the prices of publications whose publisher is either ""Person"" or ""Wiley""","SELECT Price FROM publication WHERE Publisher  =  ""Person"" OR Publisher  =  ""Wiley"""
73,musical,How many actors are there?,SELECT count(*) FROM actor
74,musical,Count the number of actors.,SELECT count(*) FROM actor
75,musical,List the name of actors in ascending alphabetical order.,SELECT Name FROM actor ORDER BY Name ASC
76,musical,"What are the names of actors, ordered alphabetically?",SELECT Name FROM actor ORDER BY Name ASC
77,musical,What are the characters and duration of actors?,"SELECT Character ,  Duration FROM actor"
78,musical,Return the characters and durations for each actor.,"SELECT Character ,  Duration FROM actor"
79,musical,List the name of actors whose age is not 20.,SELECT Name FROM actor WHERE Age != 20
80,musical,What are the names of actors who are not 20 years old?,SELECT Name FROM actor WHERE Age != 20
81,musical,What are the characters of actors in descending order of age?,SELECT Character FROM actor ORDER BY age DESC
82,musical,"Return the characters for actors, ordered by age descending.",SELECT Character FROM actor ORDER BY age DESC
83,musical,What is the duration of the oldest actor?,SELECT Duration FROM actor ORDER BY Age DESC LIMIT 1
84,musical,Return the duration of the actor with the greatest age.,SELECT Duration FROM actor ORDER BY Age DESC LIMIT 1
85,musical,"What are the names of musicals with nominee ""Bob Fosse""?","SELECT Name FROM musical WHERE Nominee  =  ""Bob Fosse"""
86,musical,Return the names of musicals who have the nominee Bob Fosse.,"SELECT Name FROM musical WHERE Nominee  =  ""Bob Fosse"""
87,musical,"What are the distinct nominees of the musicals with the award that is not ""Tony Award""?","SELECT DISTINCT Nominee FROM musical WHERE Award != ""Tony Award"""
88,musical,Return the different nominees of musicals that have an award that is not the Tony Award.,"SELECT DISTINCT Nominee FROM musical WHERE Award != ""Tony Award"""
89,musical,Show names of actors and names of musicals they are in.,"SELECT T1.Name ,  T2.Name FROM actor AS T1 JOIN musical AS T2 ON T1.Musical_ID  =  T2.Musical_ID"
90,musical,What are the names of actors and the musicals that they are in?,"SELECT T1.Name ,  T2.Name FROM actor AS T1 JOIN musical AS T2 ON T1.Musical_ID  =  T2.Musical_ID"
91,musical,"Show names of actors that have appeared in musical with name ""The Phantom of the Opera"".","SELECT T1.Name FROM actor AS T1 JOIN musical AS T2 ON T1.Musical_ID  =  T2.Musical_ID WHERE T2.Name  =  ""The Phantom of the Opera"""
92,musical,What are the names of actors who have been in the musical titled The Phantom of the Opera?,"SELECT T1.Name FROM actor AS T1 JOIN musical AS T2 ON T1.Musical_ID  =  T2.Musical_ID WHERE T2.Name  =  ""The Phantom of the Opera"""
93,musical,Show names of actors in descending order of the year their musical is awarded.,SELECT T1.Name FROM actor AS T1 JOIN musical AS T2 ON T1.Musical_ID  =  T2.Musical_ID ORDER BY T2.Year DESC
94,musical,What are the names of actors ordered descending by the year in which their musical was awarded?,SELECT T1.Name FROM actor AS T1 JOIN musical AS T2 ON T1.Musical_ID  =  T2.Musical_ID ORDER BY T2.Year DESC
95,musical,Show names of musicals and the number of actors who have appeared in the musicals.,"SELECT T2.Name ,  COUNT(*) FROM actor AS T1 JOIN musical AS T2 ON T1.Musical_ID  =  T2.Musical_ID GROUP BY T1.Musical_ID"
96,musical,How many actors have appeared in each musical?,"SELECT T2.Name ,  COUNT(*) FROM actor AS T1 JOIN musical AS T2 ON T1.Musical_ID  =  T2.Musical_ID GROUP BY T1.Musical_ID"
97,musical,Show names of musicals which have at least three actors.,SELECT T2.Name FROM actor AS T1 JOIN musical AS T2 ON T1.Musical_ID  =  T2.Musical_ID GROUP BY T1.Musical_ID HAVING COUNT(*)  >=  3
98,musical,What are the names of musicals who have at 3 or more actors?,SELECT T2.Name FROM actor AS T1 JOIN musical AS T2 ON T1.Musical_ID  =  T2.Musical_ID GROUP BY T1.Musical_ID HAVING COUNT(*)  >=  3
99,musical,Show different nominees and the number of musicals they have been nominated.,"SELECT Nominee ,  COUNT(*) FROM musical GROUP BY Nominee"
100,musical,How many musicals has each nominee been nominated for?,"SELECT Nominee ,  COUNT(*) FROM musical GROUP BY Nominee"
101,musical,Please show the nominee who has been nominated the greatest number of times.,SELECT Nominee FROM musical GROUP BY Nominee ORDER BY COUNT(*) DESC LIMIT 1
102,musical,Who is the nominee who has been nominated for the most musicals?,SELECT Nominee FROM musical GROUP BY Nominee ORDER BY COUNT(*) DESC LIMIT 1
103,musical,List the most common result of the musicals.,SELECT RESULT FROM musical GROUP BY RESULT ORDER BY COUNT(*) DESC LIMIT 1
104,musical,Return the most frequent result across all musicals.,SELECT RESULT FROM musical GROUP BY RESULT ORDER BY COUNT(*) DESC LIMIT 1
105,musical,List the nominees that have been nominated more than two musicals.,SELECT Nominee FROM musical GROUP BY Nominee HAVING COUNT(*)  >  2
106,musical,Who are the nominees who have been nominated more than two times?,SELECT Nominee FROM musical GROUP BY Nominee HAVING COUNT(*)  >  2
107,musical,List the name of musicals that do not have actors.,SELECT Name FROM musical WHERE Musical_ID NOT IN (SELECT Musical_ID FROM actor)
108,musical,What are the names of musicals who have no actors?,SELECT Name FROM musical WHERE Musical_ID NOT IN (SELECT Musical_ID FROM actor)
109,musical,"Show the musical nominee with award ""Bob Fosse"" or ""Cleavant Derricks"".","SELECT Nominee FROM musical WHERE Award  =  ""Tony Award"" OR Award  =  ""Cleavant Derricks"""
110,musical,Who are the nominees who were nominated for either of the Bob Fosse or Cleavant Derricks awards?,"SELECT Nominee FROM musical WHERE Award  =  ""Tony Award"" OR Award  =  ""Cleavant Derricks"""
111,journal_committee,How many editors are there?,SELECT count(*) FROM editor
112,journal_committee,List the names of editors in ascending order of age.,SELECT Name FROM editor ORDER BY Age ASC
113,journal_committee,What are the names and ages of editors?,"SELECT Name ,  Age FROM editor"
114,journal_committee,List the names of editors who are older than 25.,SELECT Name FROM editor WHERE Age  >  25
115,journal_committee,Show the names of editors of age either 24 or 25.,SELECT Name FROM editor WHERE Age  =  24 OR Age  =  25
116,journal_committee,What is the name of the youngest editor?,SELECT Name FROM editor ORDER BY Age ASC LIMIT 1
117,journal_committee,What are the different ages of editors? Show each age along with the number of editors of that age.,"SELECT Age ,  COUNT(*) FROM editor GROUP BY Age"
118,journal_committee,Please show the most common age of editors.,SELECT Age FROM editor GROUP BY Age ORDER BY COUNT(*) DESC LIMIT 1
119,journal_committee,Show the distinct themes of journals.,SELECT DISTINCT Theme FROM journal
120,journal_committee,Show the names of editors and the theme of journals for which they serve on committees.,"SELECT T2.Name ,  T3.Theme FROM journal_committee AS T1 JOIN editor AS T2 ON T1.Editor_ID  =  T2.Editor_ID JOIN journal AS T3 ON T1.Journal_ID  =  T3.Journal_ID"
121,journal_committee,"For each journal_committee, find the editor name and the journal theme.","SELECT T2.Name ,  T3.Theme FROM journal_committee AS T1 JOIN editor AS T2 ON T1.Editor_ID  =  T2.Editor_ID JOIN journal AS T3 ON T1.Journal_ID  =  T3.Journal_ID"
122,journal_committee,"Show the names and ages of editors and the theme of journals for which they serve on committees, in ascending alphabetical order of theme.","SELECT T2.Name ,  T2.age ,  T3.Theme FROM journal_committee AS T1 JOIN editor AS T2 ON T1.Editor_ID  =  T2.Editor_ID JOIN journal AS T3 ON T1.Journal_ID  =  T3.Journal_ID ORDER BY T3.Theme ASC"
123,journal_committee,Show the names of editors that are on the committee of journals with sales bigger than 3000.,SELECT T2.Name FROM journal_committee AS T1 JOIN editor AS T2 ON T1.Editor_ID  =  T2.Editor_ID JOIN journal AS T3 ON T1.Journal_ID  =  T3.Journal_ID WHERE T3.Sales  >  3000
124,journal_committee,"Show the id, name of each editor and the number of journal committees they are on.","SELECT T1.editor_id ,  T1.Name ,  COUNT(*) FROM editor AS T1 JOIN journal_committee AS T2 ON T1.Editor_ID  =  T2.Editor_ID GROUP BY T1.editor_id"
125,journal_committee,Show the names of editors that are on at least two journal committees.,SELECT T1.Name FROM editor AS T1 JOIN journal_committee AS T2 ON T1.Editor_ID  =  T2.Editor_ID GROUP BY T1.Name HAVING COUNT(*)  >=  2
126,journal_committee,List the names of editors that are not on any journal committee.,SELECT Name FROM editor WHERE editor_id NOT IN (SELECT editor_id FROM journal_committee)
127,journal_committee,What is the average sales of the journals that have an editor whose work type is 'Photo'?,SELECT avg(T1.sales) FROM journal AS T1 JOIN journal_committee AS T2 ON T1.journal_ID  =  T2.journal_ID WHERE T2.work_type  =  'Photo'
128,race_track,How many tracks do we have?,SELECT count(*) FROM track
129,race_track,Count the number of tracks.,SELECT count(*) FROM track
130,race_track,Show the name and location for all tracks.,"SELECT name ,  LOCATION FROM track"
131,race_track,What are the names and locations of all tracks?,"SELECT name ,  LOCATION FROM track"
132,race_track,"Show names and seatings, ordered by seating for all tracks opened after 2000.","SELECT name ,  seating FROM track WHERE year_opened  >  2000 ORDER BY seating"
133,race_track,"What are the names and seatings for all tracks opened after 2000, ordered by seating?","SELECT name ,  seating FROM track WHERE year_opened  >  2000 ORDER BY seating"
134,race_track,"What is the name, location and seating for the most recently opened track?","SELECT name ,  LOCATION ,  seating FROM track ORDER BY year_opened DESC LIMIT 1"
135,race_track,"Return the name, location, and seating of the track that was opened in the most recent year.","SELECT name ,  LOCATION ,  seating FROM track ORDER BY year_opened DESC LIMIT 1"
136,race_track,"What is the minimum, maximum, and average seating for all tracks.","SELECT min(seating) ,  max(seating) ,  avg(seating) FROM track"
137,race_track,"Return the minimum, maximum, and average seating across all tracks.","SELECT min(seating) ,  max(seating) ,  avg(seating) FROM track"
138,race_track,"Show the name, location, open year for all tracks with a seating higher than the average.","SELECT name ,  LOCATION ,  year_opened FROM track WHERE seating  >  (SELECT avg(seating) FROM track)"
139,race_track,"What are the names, locations, and years of opening for tracks with seating higher than average?","SELECT name ,  LOCATION ,  year_opened FROM track WHERE seating  >  (SELECT avg(seating) FROM track)"
140,race_track,What are distinct locations where tracks are located?,SELECT DISTINCT LOCATION FROM track
141,race_track,Give the different locations of tracks.,SELECT DISTINCT LOCATION FROM track
142,race_track,How many races are there?,SELECT count(*) FROM race
143,race_track,Count the number of races.,SELECT count(*) FROM race
